State,State/ UT Name,Total Number of Factories-2001,Average Daily Employment-2001,Total Number of Factories-2002,Average Daily Employment-2002,Total Number of Factories-2003,Average Daily Employment-2003,Total Number of Factories-2004,Average Daily Employment-2004,Total Number of Factories-2005,Average Daily Employment-2005,Total Number of Factories-2006,Average Daily Employment-2006,Total Number of Factories-2007,Average Daily Employment-2007,Total Number of Factories-2008,Average Daily Employment-2008,Total Number of Factories-2009,Average Daily Employment-2009,Total Number of Factories-2010,Average Daily Employment-2010,Total Number of Factories-2011,Average Daily Employment-2011,Total Number of Factories-2012,Average Daily Employment-2012,Total Number of Factories-2013,Average Daily Employment-2013
State,Andhra Pradesh,29218,719,30762,731,27927,717,28016,764,28149,773,28168,792,29451,833,30054,873,30827,953,31953,1024,32744,1031,35689,1161,21129,605
State,Assam,1473,94,1554,96,1526,94,1671,99,1876,107,2073,114,2299,121,1946,121,2299,137,3048,150,3331,157,3730,175,4093,197
State,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,5926,89,NA,NA,6443,104,6668,104,6443,104,7739,139,8101,147,8847,168,9318,188
State,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3569,265,3610,280,3257,235,3437,264
State,Goa,644,38,695,42,696,45,661,43,675,45,683,49,723,53,722,55,720,65,713,68,674,66,692,70,704,71
State,Gujarat,18010,748,NA,NA,NA,NA,NA,NA,NA,NA,22244,1016,NA,NA,NA,NA,NA,NA,25004,1296,26089,1387,NA,NA,NA,NA
State,Haryana,NA,NA,8794,448,6303,361,9170,558,9240,575,9642,635,9959,679,9978,684,10306,738,10519,783,10587,794,10986,822,11271,837
State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4183,272,NA,NA,NA,NA
State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jharkhand,@,NA,NA,NA,NA,NA,NA,NA,5414,281,5972,295,6216,303,6496,310,…,…,7182,390,7421,419,NA,NA,5674,257
State,Karnataka,NA,NA,9542,1084,9750,1003,10063,890,10033,933,10062,918,11066,1056,11782,1138,…,…,NA,NA,NA,NA,NA,NA,NA,NA
State,Kerala,NA,NA,NA,NA,NA,NA,18221,408,18011,175,18164,164,NA,NA,NA,NA,NA,NA,20715,772,20796,782,NA,NA,NA,NA
State,Madhya Pradesh,7741,405,7806,392,7893,417,7586,473,7908,460,8034,436,8782,448,9061,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,28501,1253,28783,1227,28892,1216,29332,1235,30461,1301,30773,1324,30948,1344,NA,NA,34118,1531,34962,1683,35951,1851,37414,2089,NA,NA
State,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,944,9,975,10,NA,NA,NA,NA,NA,NA
State,Meghalaya,NA,NA,NA,NA,NA,NA,74,4,82,4,111,6,115,6,125,6,98,6,136,8,133,9,147,9,152,10
State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,9,519,9,161,3,NA,NA
State,Odisha,1920,136,1899,133,1933,131,1994,130,2015,139,2137,150,2210,165,2345,176,2469,218,2595,265,2528,280,NA,NA,NA,NA
State,Punjab,13439,408,13791,451,14109,462,14670,480,15311,521,16018,549,16326,570,17007,590,17168,593,17318,616,17403,645,NA,NA,NA,NA
State,Rajasthan,9103,367,9341,363,9406,373,9711,386,9889,398,10552,393,10412,468,11253,598,11575,606,11849,570,12223,613,12559,691,12932,497
State,Tamil Nadu,24097,1234,24811,1252,NA,NA,25843,1283,28341,1333,29448,1381,NA,NA,NA,NA,NA,NA,29619,1500,30476,1495,39489,1577,NA,NA
State,Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14790,583
State,Tripura,1433,32,1481,32,1522,32,1542,33,1575,33,1575,33,1477,41,1547,44,1626,52,1747,58,1486,58,1549,58,1533,56
State,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1486,105,1743,165,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13152,860,13129,893,13577,934,NA,NA,NA,NA,NA,NA,NA,NA
State,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13224,948,14209,1276,NA,NA,15453,1161,16023,1038,NA,NA,NA,NA
Union Territory,A & N Island,NA,NA,48,8,33,5,NA,NA,NA,NA,NA,NA,38,5,NA,NA,42,5,NA,NA,43,6,44,6,NA,NA
Union Territory,Chandigarh,486,15,494,15,484,14,437,14,435,13,441,13,458,12,NA,NA,472,11,472,12,458,12,434,13,425,12
Union Territory,Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075,147,4133,174,NA,NA
Union Territory,Delhi,6863,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8004,342,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Puducherry,1872,54,1284,55,1421,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2172,78,1970,80,2030,83,2035,80
Total,Total,144800,5733,141085,6330,111895,4927,158991,6802,175341,7180,196097,8269,163299,8015,137808,8015,142431,6488,228259,10857,240824,11578,161161,7335,87493,3659
